credit_history;purpose;credit_amount;savings_status;employment;installment_commitment;personal_status;age;housing;existing_credits;job;class
'critical/other existing credit';'new car';3966;'<100';'>=7';1;'female div/dep/mar';33;rent;3;skilled;bad
'no credits/all paid';business;4165;'<100';'1<=X<4';2;'male single';36;own;2;skilled;bad
'existing paid';'used car';8335;'no known savings';'>=7';3;'male single';47;'for free';1;skilled;bad
'delayed previously';business;6681;'no known savings';'1<=X<4';4;'male single';38;'for free';1;skilled;good
'delayed previously';business;2375;'500<=X<1000';'1<=X<4';4;'male single';44;own;2;skilled;good
'existing paid';'new car';1216;'<100';'<1';4;'female div/dep/mar';23;rent;1;skilled;bad
'no credits/all paid';business;11816;'<100';'>=7';2;'male single';29;rent;2;skilled;bad
'existing paid';radio/tv;5084;'no known savings';'>=7';2;'female div/dep/mar';42;own;1;skilled;good
'existing paid';radio/tv;2327;'<100';'<1';2;'female div/dep/mar';25;own;1;'unskilled resident';bad
'no credits/all paid';'new car';1082;'<100';'1<=X<4';4;'male single';48;own;2;skilled;bad
'existing paid';radio/tv;886;'no known savings';'1<=X<4';4;'female div/dep/mar';21;own;1;skilled;good
'existing paid';furniture/equipment;601;'<100';'<1';1;'female div/dep/mar';23;rent;1;'unskilled resident';good
'critical/other existing credit';'used car';2957;'<100';'>=7';4;'male single';63;own;2;skilled;good
'critical/other existing credit';radio/tv;2611;'<100';'>=7';4;'male mar/wid';46;own;2;skilled;good
'existing paid';furniture/equipment;5179;'<100';'4<=X<7';4;'male single';29;own;1;skilled;bad
'delayed previously';'used car';2993;'<100';'1<=X<4';3;'male single';28;own;2;'unskilled resident';good
'existing paid';repairs;1943;'<100';'<1';4;'female div/dep/mar';23;own;1;skilled;bad
'all paid';business;1559;'<100';'4<=X<7';4;'male single';50;own;1;skilled;good
'existing paid';furniture/equipment;3422;'<100';'>=7';4;'male single';47;own;3;skilled;good
'existing paid';furniture/equipment;3976;'no known savings';'4<=X<7';2;'male single';35;own;1;skilled;good
'existing paid';'new car';6761;'no known savings';'1<=X<4';2;'male single';68;rent;2;skilled;bad
'existing paid';'new car';1249;'<100';'<1';4;'male mar/wid';28;own;1;skilled;good
'existing paid';radio/tv;1364;'<100';'4<=X<7';3;'male single';59;own;1;skilled;good
'existing paid';radio/tv;709;'<100';'>=7';4;'male single';57;own;1;'unskilled resident';bad
'critical/other existing credit';'new car';2235;'<100';'1<=X<4';4;'male mar/wid';33;rent;2;skilled;bad
'critical/other existing credit';'used car';4042;'no known savings';'4<=X<7';3;'male single';43;own;2;skilled;good
'critical/other existing credit';radio/tv;1471;'<100';'1<=X<4';4;'male single';35;'for free';2;skilled;good
'all paid';'new car';1442;'<100';'4<=X<7';4;'male single';32;'for free';2;'unskilled resident';bad
'delayed previously';'new car';10875;'<100';'>=7';2;'male single';45;own;2;skilled;good
'existing paid';'new car';1474;'100<=X<500';'<1';4;'male mar/wid';33;own;1;skilled;good
'existing paid';retraining;894;'no known savings';'4<=X<7';4;'female div/dep/mar';40;own;1;skilled;good
'critical/other existing credit';furniture/equipment;3343;'<100';'1<=X<4';4;'male single';28;'for free';1;skilled;good
'existing paid';'new car';3959;'<100';'1<=X<4';3;'female div/dep/mar';29;own;1;skilled;bad
'existing paid';'new car';3577;'100<=X<500';'1<=X<4';1;'male single';26;rent;1;skilled;good
'critical/other existing credit';'used car';5804;'>=1000';'1<=X<4';4;'male single';27;own;2;skilled;good
'delayed previously';business;2169;'<100';'1<=X<4';4;'male mar/wid';28;own;1;skilled;bad
'existing paid';radio/tv;2439;'<100';'<1';4;'female div/dep/mar';35;own;1;skilled;bad
'critical/other existing credit';furniture/equipment;4526;'>=1000';'<1';4;'male single';32;own;2;'unskilled resident';good
'existing paid';furniture/equipment;2210;'<100';'1<=X<4';2;'male single';25;rent;1;'unskilled resident';bad
'existing paid';furniture/equipment;2221;'500<=X<1000';'1<=X<4';2;'female div/dep/mar';20;rent;1;skilled;good
'existing paid';radio/tv;2389;'<100';'<1';4;'female div/dep/mar';27;own;1;skilled;good
'critical/other existing credit';furniture/equipment;3331;'<100';'>=7';2;'male single';42;own;1;skilled;good
'existing paid';business;7409;'no known savings';'>=7';3;'male single';37;own;2;skilled;good
'existing paid';furniture/equipment;652;'<100';'>=7';4;'female div/dep/mar';24;rent;1;skilled;good
'delayed previously';furniture/equipment;7678;'500<=X<1000';'4<=X<7';2;'female div/dep/mar';40;own;2;skilled;good
'critical/other existing credit';'new car';1343;'<100';'>=7';1;'male single';46;own;2;skilled;good
'critical/other existing credit';business;1382;'100<=X<500';'4<=X<7';4;'male single';26;own;2;skilled;good
'existing paid';'domestic appliance';874;'no known savings';'<1';4;'female div/dep/mar';24;own;1;skilled;good
'existing paid';furniture/equipment;3590;'<100';'1<=X<4';2;'male single';29;own;1;'unskilled resident';good
'critical/other existing credit';'new car';1322;'>=1000';'1<=X<4';4;'female div/dep/mar';40;own;2;skilled;good
'all paid';radio/tv;1940;'<100';'<1';3;'male single';36;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;3595;'<100';'>=7';4;'male single';28;own;1;skilled;good
'existing paid';'new car';1422;'<100';'<1';3;'male single';27;'for free';1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';radio/tv;6742;'no known savings';'4<=X<7';2;'male single';36;own;2;skilled;good
'existing paid';'used car';7814;'<100';'4<=X<7';3;'male single';38;own;1;'high qualif/self emp/mgmt';good
'existing paid';'used car';9277;'no known savings';'1<=X<4';2;'male div/sep';48;'for free';1;skilled;good
'critical/other existing credit';'new car';2181;'no known savings';'>=7';4;'male single';36;own;2;skilled;good
'critical/other existing credit';radio/tv;1098;'<100';unemployed;4;'female div/dep/mar';65;own;2;'unemp/unskilled non res';good
'existing paid';furniture/equipment;4057;'<100';'4<=X<7';3;'male div/sep';43;own;1;skilled;bad
'existing paid';education;795;'<100';'<1';4;'female div/dep/mar';53;own;1;skilled;bad
'critical/other existing credit';business;2825;'no known savings';'4<=X<7';4;'male single';34;own;2;skilled;good
'existing paid';business;15672;'<100';'1<=X<4';2;'male single';23;own;1;skilled;bad
'critical/other existing credit';'new car';6614;'<100';'>=7';4;'male single';34;own;2;'high qualif/self emp/mgmt';good
'all paid';'used car';7824;'no known savings';'<1';3;'male single';40;rent;2;skilled;good
'critical/other existing credit';business;2442;'<100';'>=7';4;'male single';43;own;4;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;1829;'<100';'>=7';4;'male single';46;own;2;skilled;good
'critical/other existing credit';'new car';2171;'<100';'1<=X<4';4;'male single';38;own;2;'unskilled resident';good
'critical/other existing credit';'used car';5800;'<100';'1<=X<4';3;'male single';34;own;2;skilled;good
'critical/other existing credit';radio/tv;1169;'no known savings';'1<=X<4';4;'male single';29;own;2;skilled;good
'delayed previously';'used car';8947;'no known savings';'4<=X<7';3;'male single';31;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;2606;'<100';'<1';4;'female div/dep/mar';28;rent;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;1592;'>=1000';'4<=X<7';3;'female div/dep/mar';35;own;1;skilled;good
'existing paid';furniture/equipment;2186;'no known savings';'4<=X<7';1;'female div/dep/mar';33;rent;1;'unskilled resident';good
'existing paid';furniture/equipment;4153;'<100';'1<=X<4';2;'male single';42;own;1;skilled;bad
'critical/other existing credit';'new car';2625;'<100';'>=7';2;'male single';43;rent;1;skilled;bad
'critical/other existing credit';'new car';3485;'no known savings';'<1';2;'male div/sep';44;own;2;skilled;good
'critical/other existing credit';'used car';10477;'no known savings';'>=7';2;'male single';42;'for free';2;skilled;good
'existing paid';radio/tv;1386;'no known savings';'1<=X<4';4;'male mar/wid';40;rent;1;skilled;good
'existing paid';radio/tv;1278;'<100';'>=7';4;'male single';36;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1107;'<100';'1<=X<4';2;'male single';20;rent;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';3763;'no known savings';'4<=X<7';2;'male single';24;own;1;'unskilled resident';good
'existing paid';education;3711;'no known savings';'1<=X<4';2;'male mar/wid';27;own;1;skilled;good
'delayed previously';'used car';3594;'<100';'<1';1;'female div/dep/mar';46;own;2;'unskilled resident';good
'existing paid';'new car';3195;'no known savings';'1<=X<4';1;'female div/dep/mar';33;own;1;'unskilled resident';good
'delayed previously';radio/tv;4454;'<100';'1<=X<4';4;'female div/dep/mar';34;own;2;skilled;good
'critical/other existing credit';furniture/equipment;4736;'<100';'<1';2;'female div/dep/mar';25;own;1;'unskilled resident';bad
'existing paid';radio/tv;2991;'no known savings';'>=7';2;'female div/dep/mar';25;own;1;skilled;good
'existing paid';business;2142;'>=1000';'>=7';1;'male div/sep';28;own;1;skilled;good
'all paid';business;3161;'<100';'1<=X<4';4;'male single';31;rent;1;skilled;bad
'no credits/all paid';other;18424;'<100';'1<=X<4';1;'female div/dep/mar';32;own;1;'high qualif/self emp/mgmt';bad
'existing paid';'used car';2848;'100<=X<500';'1<=X<4';1;'male single';32;own;1;skilled;good
'existing paid';'new car';14896;'<100';'>=7';1;'male single';68;own;1;'high qualif/self emp/mgmt';bad
'existing paid';furniture/equipment;2359;'100<=X<500';unemployed;1;'male div/sep';33;own;1;skilled;bad
'existing paid';furniture/equipment;3345;'<100';'>=7';4;'male single';39;rent;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';furniture/equipment;1817;'<100';'1<=X<4';4;'female div/dep/mar';28;own;2;skilled;good
'delayed previously';radio/tv;12749;'500<=X<1000';'4<=X<7';4;'male single';37;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1366;'<100';'<1';3;'female div/dep/mar';22;rent;1;skilled;bad
'existing paid';'new car';2002;'<100';'4<=X<7';3;'male single';30;rent;1;skilled;good
'all paid';furniture/equipment;6872;'<100';'<1';2;'male div/sep';55;own;1;skilled;bad
'all paid';'new car';697;'<100';'<1';4;'male single';46;own;2;skilled;bad
'critical/other existing credit';furniture/equipment;1049;'<100';'<1';4;'female div/dep/mar';21;rent;1;skilled;good
'existing paid';'used car';10297;'<100';'4<=X<7';4;'male single';39;'for free';3;skilled;bad
'existing paid';radio/tv;1867;'no known savings';'>=7';4;'male single';58;own;1;skilled;good
'delayed previously';'new car';1344;'<100';'1<=X<4';4;'male single';43;own;2;'unskilled resident';good
'existing paid';furniture/equipment;1747;'<100';'<1';4;'male single';24;own;1;'unskilled resident';good
'existing paid';radio/tv;1670;'<100';'<1';4;'female div/dep/mar';22;own;1;skilled;bad
'critical/other existing credit';'new car';1224;'<100';'1<=X<4';3;'male single';30;own;2;skilled;good
'critical/other existing credit';radio/tv;522;'500<=X<1000';'>=7';4;'male single';42;own;2;skilled;good
'existing paid';radio/tv;1498;'<100';'1<=X<4';4;'female div/dep/mar';23;own;1;skilled;good
'delayed previously';radio/tv;1919;'100<=X<500';'<1';4;'male single';30;own;2;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;745;'<100';'1<=X<4';3;'female div/dep/mar';28;own;1;'unskilled resident';bad
'existing paid';radio/tv;2063;'<100';'<1';4;'male mar/wid';30;rent;1;'high qualif/self emp/mgmt';good
'existing paid';education;6288;'<100';'1<=X<4';4;'male single';42;'for free';1;skilled;bad
'critical/other existing credit';'used car';6842;'no known savings';'1<=X<4';2;'male single';46;own;2;'high qualif/self emp/mgmt';good
'existing paid';'new car';3527;'no known savings';'<1';2;'male single';45;own;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';1546;'<100';'1<=X<4';3;'male single';31;own;1;'unskilled resident';good
'existing paid';furniture/equipment;929;'no known savings';'4<=X<7';4;'male single';31;own;1;skilled;good
'critical/other existing credit';'new car';1455;'<100';'4<=X<7';2;'male single';42;own;3;'unskilled resident';good
'existing paid';furniture/equipment;1845;'<100';'<1';4;'female div/dep/mar';46;rent;1;skilled;good
'no credits/all paid';'new car';8358;'500<=X<1000';'<1';1;'female div/dep/mar';30;own;2;skilled;good
'all paid';furniture/equipment;3349;'500<=X<1000';'<1';4;'male single';30;'for free';1;skilled;bad
'existing paid';'new car';2859;'no known savings';unemployed;4;'male single';38;own;1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;1533;'<100';'<1';4;'male mar/wid';43;own;1;'unskilled resident';bad
'existing paid';radio/tv;3621;'100<=X<500';'>=7';2;'male single';31;own;2;skilled;bad
'critical/other existing credit';business;3590;'<100';unemployed;3;'male mar/wid';40;own;3;'unemp/unskilled non res';good
'delayed previously';business;2145;'<100';'4<=X<7';2;'male single';24;own;2;skilled;bad
'existing paid';'used car';4113;'500<=X<1000';'<1';3;'female div/dep/mar';28;rent;1;skilled;bad
'existing paid';furniture/equipment;10974;'<100';unemployed;4;'female div/dep/mar';26;own;2;'high qualif/self emp/mgmt';bad
'existing paid';'new car';1893;'<100';'1<=X<4';4;'female div/dep/mar';29;own;1;skilled;good
'critical/other existing credit';radio/tv;1231;'>=1000';'>=7';4;'female div/dep/mar';57;rent;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;3656;'no known savings';'>=7';4;'male single';49;own;2;'unskilled resident';good
'critical/other existing credit';radio/tv;1154;'<100';'>=7';2;'male single';37;own;3;'unskilled resident';good
'existing paid';'new car';4006;'<100';'1<=X<4';3;'male single';45;own;1;'unskilled resident';bad
'existing paid';furniture/equipment;3069;'100<=X<500';'>=7';4;'male single';30;'for free';1;skilled;good
'critical/other existing credit';radio/tv;1740;'<100';'>=7';2;'male mar/wid';30;rent;2;skilled;good
'delayed previously';'new car';2353;'<100';'1<=X<4';1;'male div/sep';47;own;2;skilled;good
'existing paid';'new car';3556;'no known savings';'1<=X<4';3;'male single';29;own;1;skilled;good
'existing paid';radio/tv;2397;'500<=X<1000';'>=7';3;'male single';35;own;2;skilled;bad
'existing paid';repairs;454;'<100';'<1';3;'male mar/wid';22;own;1;'unskilled resident';good
'existing paid';radio/tv;1715;'no known savings';'1<=X<4';4;'female div/dep/mar';26;own;1;skilled;good
'critical/other existing credit';radio/tv;2520;'500<=X<1000';'1<=X<4';4;'male single';23;own;2;'unskilled resident';bad
'existing paid';radio/tv;3568;'<100';'>=7';4;'female div/dep/mar';54;rent;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;7166;'no known savings';'4<=X<7';2;'male mar/wid';29;rent;1;skilled;good
'critical/other existing credit';'new car';3939;'<100';'1<=X<4';1;'male single';40;own;2;'unskilled resident';good
'existing paid';repairs;1514;'100<=X<500';'1<=X<4';4;'male single';22;own;1;skilled;good
'existing paid';'new car';7393;'<100';'1<=X<4';1;'male single';43;own;1;'unskilled resident';good
'all paid';'new car';1193;'<100';unemployed;1;'female div/dep/mar';29;rent;2;'unemp/unskilled non res';bad
'existing paid';business;7297;'<100';'>=7';4;'male single';36;rent;1;skilled;bad
'critical/other existing credit';radio/tv;2831;'<100';'1<=X<4';4;'female div/dep/mar';33;own;1;skilled;good
'existing paid';radio/tv;1258;'500<=X<1000';'1<=X<4';3;'female div/dep/mar';57;own;1;'unskilled resident';good
'existing paid';radio/tv;753;'<100';'1<=X<4';2;'female div/dep/mar';64;own;1;skilled;good
'delayed previously';business;2427;'no known savings';'>=7';4;'male single';42;own;2;skilled;good
'delayed previously';'new car';2538;'<100';'>=7';4;'male single';47;own;2;'unskilled resident';bad
'all paid';'new car';1264;'100<=X<500';'1<=X<4';2;'male mar/wid';25;rent;1;skilled;bad
'critical/other existing credit';furniture/equipment;8386;'<100';'4<=X<7';2;'male single';49;own;1;skilled;bad
'existing paid';business;4844;'<100';unemployed;3;'male single';33;rent;1;'high qualif/self emp/mgmt';bad
'existing paid';'new car';2923;'100<=X<500';'1<=X<4';1;'female div/dep/mar';28;own;1;'high qualif/self emp/mgmt';good
'existing paid';'used car';8229;'<100';'1<=X<4';2;'male single';26;own;1;skilled;bad
'critical/other existing credit';furniture/equipment;2028;'<100';'4<=X<7';2;'male single';30;own;2;'unskilled resident';good
'critical/other existing credit';furniture/equipment;1433;'<100';'1<=X<4';4;'female div/dep/mar';25;rent;2;skilled;good
'no credits/all paid';business;6289;'<100';'<1';2;'male div/sep';33;own;2;skilled;good
'existing paid';radio/tv;1409;'100<=X<500';unemployed;2;'female div/dep/mar';64;own;1;skilled;good
'existing paid';'used car';6579;'<100';unemployed;4;'male single';29;'for free';1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;1743;'<100';'>=7';4;'male single';48;own;2;'unskilled resident';good
'critical/other existing credit';education;3565;'no known savings';'<1';2;'male single';37;own;2;'unskilled resident';good
'all paid';radio/tv;1569;'100<=X<500';'>=7';4;'male single';34;own;1;'unskilled resident';good
'existing paid';radio/tv;1936;'no known savings';'4<=X<7';2;'male mar/wid';23;rent;2;'unskilled resident';good
'existing paid';furniture/equipment;3959;'<100';unemployed;4;'male single';30;own;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';2390;'no known savings';'>=7';4;'male single';50;own;1;skilled;good
'existing paid';furniture/equipment;1736;'<100';'4<=X<7';3;'female div/dep/mar';31;own;1;'unskilled resident';good
'existing paid';'used car';3857;'<100';'1<=X<4';4;'male div/sep';40;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;804;'<100';'>=7';4;'male single';38;own;1;skilled;good
'existing paid';radio/tv;1845;'<100';'1<=X<4';4;'male single';23;'for free';1;skilled;bad
'critical/other existing credit';'used car';4576;'100<=X<500';unemployed;3;'male single';27;own;1;skilled;good
